id_competitor,price,airline,id_flight
28,3350,802,407945212
92,3362,802,407945212
20,3624,802,407945212
5,3670,802,407945212
33,3839,802,407945212
106,7683,802,407945212
24,3060,802,407945536
20,3060,802,407945536
63,3123,802,407945536
28,3185,802,407945536
92,3186,802,407945536
33,3368,802,407945536
90,3394,802,407945536
5,3506,802,407945536
131,11994,9408,693,407946052
74,12888,693,407946052
28,13266,693,407946052
32,13425,693,407946052
106,13439,693,407946052
20,13469,693,407946052
90,13580,693,407946052
63,13684,693,407946052
107,14144,693,407946052
60,14204,693,407946052
33,17785,693,407946052
131,13733,338,693,407946053
74,14651,693,407946053
28,15050,693,407946053
32,15188,693,407946053
106,15203,693,407946053
20,15257,693,407946053
90,15344,693,407946053
63,15504,693,407946053
60,16015,693,407946053
107,16040,693,407946053
33,19619,693,407946053
131,13733,338,693,407946054
63,14594,693,407946054
74,14651,693,407946054
28,15050,693,407946054
107,15080,693,407946054
32,15188,693,407946054
106,15203,693,407946054
20,15257,693,407946054
90,15344,693,407946054
60,16015,693,407946054
33,19619,693,407946054
712,13203,4347,794,407946055
60,14663,794,407946055
106,14725,794,407946055
33,16737,794,407946055
63,13660,127,407946056
90,13758,127,407946056
74,13764,127,407946056
32,13826,127,407946056
106,13834,127,407946056
28,13904,127,407946056
92,14077,127,407946056
20,14081,127,407946056
107,14826,127,407946056
60,15279,127,407946056
33,17611,127,407946056
63,14742,127,407946058
74,14830,127,407946058
90,14836,127,407946058
106,14847,127,407946058
32,14892,127,407946058
28,14944,127,407946058
92,15130,127,407946058
20,15162,127,407946058
107,16044,127,407946058
60,16468,127,407946058
33,18746,127,407946058
63,14742,127,407946060
74,14830,127,407946060
90,14836,127,407946060
106,14847,127,407946060
32,14892,127,407946060
28,14944,127,407946060
92,15130,127,407946060
20,15162,127,407946060
107,16044,127,407946060
60,16468,127,407946060
33,18746,127,407946060
110,6985,163,407946247
90,7218,163,407946247
74,7304,163,407946247
28,7313,163,407946247
63,7345,163,407946247
5,7370,163,407946247
20,7389,163,407946247
106,7855,163,407946247
74,3299,757,407946482
63,3299,757,407946482
363,3365,757,407946482
106,3442,757,407946482
92,3458,757,407946482
28,3459,757,407946482
32,3481,757,407946482
20,3511,757,407946482
90,3658,757,407946482
5,3660,757,407946482
81,5085,280,407946484
74,5291,280,407946484
63,5301,280,407946484
90,5334,280,407946484
5,5336,280,407946484
20,5607,280,407946484
110,5720,280,407946484
32,5738,280,407946484
28,5996,280,407946484
106,6375,280,407946484
363,12236,757,407946661
63,12296,757,407946661
32,12487,757,407946661
106,12498,757,407946661
90,12808,757,407946661
20,13109,757,407946661
5,14610,757,407946661
27,14620,757,407946661
90,14281,532,407946679
63,14373,532,407946679
106,14655,532,407946679
5,14691,532,407946679
27,14753,532,407946679
32,14885,532,407946679
363,15680,532,407946679
32,15573,238,407946683
63,15642,238,407946683
106,15652,238,407946683
90,16167,238,407946683
24,7380,802,407947498
90,7543,802,407947498
28,7568,802,407947498
92,7584,802,407947498
63,7585,802,407947498
74,7642,802,407947498
5,7715,802,407947498
33,7861,802,407947498
20,7864,802,407947498
106,8415,802,407947498
24,2280,802,407947636
20,2280,802,407947636
63,2317,802,407947636
90,2349,802,407947636
28,2363,802,407947636
92,2363,802,407947636
5,2487,802,407947636
33,2599,802,407947636
106,2927,802,407947636
360,45840,243,407947770
90,47289,243,407947770
63,47736,243,407947770
106,47742,243,407947770
5,47796,243,407947770
107,54969,243,407947770
32,49270,757,407947772
90,49404,757,407947772
74,49433,757,407947772
106,49465,757,407947772
28,49596,757,407947772
92,49674,757,407947772
5,50745,757,407947772
20,50845,757,407947772
32,49270,757,407947774
90,49404,757,407947774
74,49433,757,407947774
106,49465,757,407947774
28,49596,757,407947774
92,49674,757,407947774
5,50745,757,407947774
20,50845,757,407947774
90,54502,757,407947778
32,58169,757,407947778
106,58356,757,407947778
74,58403,757,407947778
28,58497,757,407947778
92,58566,757,407947778
20,59732,757,407947778
5,62745,757,407947778
90,57612,757,407947780
32,61266,757,407947780
106,61477,757,407947780
